row_id,protocol,milestone,date,difficulty,arm,blinded_lane,maj,min,note,silent,idiom,tests,docs,task_class,instrument,era,era_conf
QA-8,v6,QA,2026-08-31,M,opus,1,NA,NA,NA,NA,NA,NA,NA,NA,v5,pre_51,date
CERT4,v6,CERT,2026-08-31,L,opus,1,1,3,3,2,5,3,3,NA,v5,pre_51,date
QA-7,v6,QA,2026-08-31,M,opus,1,NA,NA,NA,NA,NA,NA,NA,NA,v5,pre_51,date
CERT7,v6,CERT,2026-08-31,M,opus,1,0,5,8,1,4,3,4,NA,v5,pre_51,date
QA-6B,v6,QA,2026-08-31,M,opus,1,NA,NA,NA,NA,NA,NA,NA,NA,v5,pre_51,date
AZ-1,v6,VERBS,2026-08-31,S,opus,1,1,4,NA,1,5,4,3,NA,v5,pre_51,date
CERT5,v6,CERT,2026-08-31,L,opus,1,2,5,4,3,4,3,3,NA,v5,pre_51,date
CERT9,v6,CERT,2026-08-31,S,fable,1,0,1,3,1,5,4,4,NA,v5,pre_51,date
SS-1,v6,VERBS,2026-08-31,L,opus,1,2,4,NA,1,4,4,2,NA,v5,pre_51,date
CERT6,v6,CERT,2026-08-31,M,opus,1,1,6,5,1,4,2,5,NA,v5,pre_51,date
CERT8,v6,CERT,2026-09-01,L,opus,1,0,5,3,0,4,3,4,NA,v5,pre_51,date
CERT10,v6,CERT,2026-09-01,L,opus,1,1,2,4,0,4,3,4,NA,v5,pre_51,date
CERTM1,v6,CERT,2026-09-02,M,opus,1,1,8,6,NA,NA,NA,NA,NA,v5,post_51,date
CERTN1,v6,CERT,2026-09-02,M,fable,1,0,4,2,0,NA,NA,NA,NA,v5,post_51,date
CERTM2,v6,CERT,2026-09-02,L,opus,1,1,7,12,0,NA,NA,NA,NA,v5,post_51,date
CERTN2,v6,CERT,2026-09-02,M,opus,1,5,2,2,0,NA,NA,NA,NA,v5,post_51,date
CERTM3,v6,CERT,2026-09-05,L,opus,1,4,5,NA,0,NA,NA,NA,NA,v5,post_51,date
CERTN3,v6,CERT,2026-09-05,M,fable,1,0,5,5,0,NA,NA,NA,NA,v5,post_51,date
GAUTH1,v6,GAUTH,2026-08-31,L,fable,1,0,5,5,0,4,4,3,NA,v6,pre_51,date
GAUTH3,v6,GAUTH,2026-08-31,M,opus,1,0,3,4,0,4,4,4,NA,v6,pre_51,date
BOOL1,v6,BOOL,2026-08-31,M,fable,1,2,3,3,2,4,2,2,numeric,v6,pre_51,date
GAUTH2,v6,GAUTH,2026-08-31,M,opus,1,0,3,5,0,4,4,4,NA,v6,pre_51,date
GAUTH4,v6,GAUTH,2026-08-31,M,opus,1,0,5,6,1,4,4,4,NA,v6,pre_51,date
MESH1,v6,MESH,2026-08-31,S,opus,1,4,3,2,1,4,3,3,NA,v6,pre_51,date
SEAT1,v6,SEAT,2026-08-31,S,opus,1,1,3,4,1,4,3,3,NA,v6,pre_51,date
MATE1,v6,MATE,2026-08-31,L,fable,1,2,6,4,7,4,3,3,numeric,v5,pre_51,date
GAUTH5,v6,GAUTH,2026-08-31,M,opus,1,1,3,3,0,4,4,3,NA,v6,pre_51,date
MATE2,v6,MATE,2026-08-31,M,opus,1,1,4,4,2,4,4,3,NA,v5,pre_51,date
MATE6,v6,MATE,2026-08-31,M,opus,1,1,3,3,0,4,3,4,NA,v5,pre_51,date
MESH2,v6,MESH,2026-08-31,M,opus,1,0,2,0,0,5,5,4,numeric,v6,pre_51,date
MATE4A,v6,MATE,2026-09-01,M,opus,1,0,2,2,0,5,4,4,NA,v5,pre_51,date
BOOL2,v6,BOOL,2026-09-01,L,opus,1,0,4,2,0,4,4,4,numeric,v6,pre_51,date
MATE3,v6,MATE,2026-09-01,L,opus,1,0,2,0,0,5,4,4,NA,v5,pre_51,date
GA-2,v6,VERBS,2026-09-01,M,opus,1,1,3,NA,1,4,4,4,NA,v5,pre_51,date
MATE5,v6,MATE,2026-09-01,L,fable,1,2,5,3,4,3,2,2,NA,v5,pre_51,date
MESH3,v6,MESH,2026-09-01,M,fable,1,0,3,3,0,4,5,3,NA,v6,pre_51,date
MATE8,v6,MATE,2026-09-01,M,opus,1,1,4,0,3,4,4,3,NA,v5,pre_51,date
MATE7A,v6,MATE,2026-09-01,L,opus,1,0,2,2,0,5,4,4,NA,v5,pre_51,date
BOOL3,v6,BOOL,2026-09-01,L,opus,1,2,8,5,0,4,4,3,NA,v6,pre_51,date
MESH5,v6,MESH,2026-09-01,M,fable,1,1,4,4,3,4,4,3,numeric,v6,pre_51,date
BOOL8,v6,BOOL,2026-09-01,M,opus,1,0,7,4,0,4,4,3,NA,v6,pre_51,date
SEAT2,v6,SEAT,2026-09-01,M,fable,1,0,3,3,2,5,4,4,NA,v6,pre_51,date
MATE9,v6,MATE,2026-09-01,L,fable,1,1,2,1,0,4,3,4,NA,v5,pre_51,date
MESH4,v6,MESH,2026-09-01,M,opus,1,0,3,4,0,4,5,4,NA,v6,pre_51,date
SEAT3,v6,SEAT,2026-09-02,M,opus,1,0,2,2,0,5,4,4,NA,v6,post_51,date
BOOL11,v6,BOOL,2026-09-02,M,opus,1,1,9,4,3,4,4,4,NA,v6,post_51,date
MESH6,v6,MESH,2026-09-02,S,opus,1,0,5,5,NA,4,4,3,NA,v6,post_51,date
TX-1,v6,VERBS,2026-09-02,M,opus,1,1,3,NA,1,4,4,4,NA,v5,post_51,date
SEAT4,v6,SEAT,2026-09-02,L,opus,1,0,5,3,4,4,3,3,NA,v6,post_51,date
BOOL13,v6,BOOL,2026-09-02,M,fable,1,0,2,7,0,4,4,4,NA,v6,post_51,date
BOOL12,v6,BOOL,2026-09-03,M,opus,1,0,6,5,1,4,4,3,NA,v6,post_51,date
BOOL9,v6,BOOL,2026-09-08,L,opus,1,1,5,7,1,4,4,3,NA,v6,post_51,date
SEATDV,v6,SEAT,2026-09-02,S,opus,1,2,4,3,3,4,2,2,NA,v6,post_51,date
SEAT5,v6,SEAT,2026-09-02,L,fable,1,2,6,7,NA,NA,NA,NA,NA,v6,post_51,date
SEAT6,v6,SEAT,2026-09-05,M,opus,1,2,4,5,NA,NA,NA,NA,NA,v6,post_51,date
SEAT7,v6,SEAT,2026-09-05,M,opus,1,0,3,6,NA,NA,NA,NA,NA,v6,post_51,date
SEAT8,v6,SEAT,2026-09-05,M,fable,1,0,3,2,0,4,4,4,NA,v6,post_51,date
SEATFW,v6,SEAT,2026-09-05,M,opus,1,2,5,4,4,5,4,3,NA,v6,post_51,date
SEATDN,v6,SEAT,2026-09-05,S,opus,1,0,3,4,0,4,4,3,NA,v6,post_51,date
SEAT9,v6,SEAT,2026-09-05,M,opus,1,2,8,3,0,4,3.5,3.5,NA,v6,post_51,date
MESH7,v6,MESH,2026-09-02,M,fable,1,1,2,1,1,4,4,3,NA,v6,post_51,date
MESH8,v6,MESH,2026-09-02,L,opus,1,0,5,7,1,4,4,3,NA,v6,post_51,date
MESH10,v6,MESH,2026-09-02,S,fable,1,1,3,6,0,4,3,3,NA,v6,post_51,date
MESH11,v6,MESH,2026-09-02,M,opus,1,0,6,6,2,4,4,3,NA,v6,post_51,date
MESH12,v6,MESH,2026-09-08,S,fable,1,0,4,7,1,4,4,3,NA,v6,post_51,date
C5-1,v6,VERBS,2026-09-02,M,fable,1,0,4,NA,0,4,4,4,NA,v5,post_51,spanning
M10-4,v6,M10,2026-09-03,M,fable,1,1,6,8,3,4,3,4,NA,v5,post_51,date
M10-5,v6,M10,2026-09-03,L,opus,1,4,8,4,4,4,2,2,NA,v5,post_51,date
M10-6,v6,M10,2026-09-03,L,opus,1,2,9,6,6,3,3,2,NA,v5,post_51,date
M10-7,v6,M10,2026-09-04,L,opus,1,2,8,5,3,3,3,2,NA,v6,post_51,date
M10-8,v6,M10,2026-09-05,L,fable,1,4,4,2,5,3,2,2,NA,v6,post_51,date
M10-9,v6,M10,2026-09-06,M,opus,1,2,6,2,2,4,4,3,NA,v6,post_51,date
CS-1,v6,VERBS,2026-09-03,M,opus,1,0,5,NA,0,5,4,4,NA,v5,post_51,date
K1,v6,TCOST,2026-09-03,L,fable,1,2,8,3,NA,NA,NA,NA,numeric,v5,post_51,date
K2,v6,TCOST,2026-09-03,M,opus,1,0,2,3,NA,NA,NA,NA,structural,v5,post_51,date
K3,v6,TCOST,2026-09-03,M,opus,1,2,5,5,NA,NA,NA,NA,structural,v5,post_51,date
PROPS-1,v6,PROPS,2026-09-05,M,opus,1,2,10,8,NA,4,2,2,numeric,v5,post_51,date
Span,v6,PROPS,2026-09-05,L,opus,1,4,7,4,NA,3,3,2,structural,v5,post_51,date
k-stats,v6,PROPS,2026-09-05,L,fable,1,1,7,7,NA,4,3,3,structural,v5,post_51,date
coeffs,v6,PROPS,2026-09-05,L,fable,1,0,4,4,NA,4,4,3,structural,v5,post_51,date
SHELL-1,v6,SHELL,2026-09-04,M,opus,1,1,2,4,NA,4,3,3,structural,v5,post_51,date
SHELL-2,v6,SHELL,2026-09-04,M,opus,1,0,5,5,NA,4,2,4,structural,v5,post_51,date
RC-1,v6,VERBS,2026-09-04,M,fable,1,1,6,NA,0,5,5,4,NA,v5,post_51,explicit
SHELL-5,v6,SHELL,2026-09-08,M,fable,1,0,3,3,NA,NA,NA,NA,structural?,v5,post_51,date
SHELL-6,v6,SHELL,2026-09-08,M,opus,1,0,3,2,NA,NA,NA,NA,structural,v5,post_51,date
SHELL-7,v6,SHELL,2026-09-08,M,fable,1,0,3,8,NA,NA,NA,NA,numeric?,v5,post_51,date
SHELL-8,v6,SHELL,2026-09-08,M,opus,1,1,7,6,NA,NA,NA,NA,structural?,v5,post_51,date
SHELL-9,v6,SHELL,2026-09-08,S,fable,1,0,2,3,NA,NA,NA,NA,structural,v5,post_51,date
SHELL-10,v6,SHELL,2026-09-08,M,opus,1,1,3,2,NA,NA,NA,NA,structural?,v5,post_51,date
C5A2,v6,CURVED,2026-09-05,M,opus,1,1,8,NA,0,4,3,2,numeric,v6,post_51,date
T3A,v6,TRIM,2026-09-07,M,opus,1,1,3,NA,0,5,3,4,numeric,v6,post_51,date
TBOX,v6,CURVED,2026-09-07,M,opus,1,1,2,NA,0,4,3,5,numeric,v6,post_51,date
T1,v6,TRIM,2026-09-07,L,fable,1,0,3,3,0,4,NA,NA,numeric,v6,post_51,date
WB-1,v6,VERBS,2026-09-04,M,opus,1,1,6,NA,0,4,4,4,NA,v5,post_51,date
H4,v6,FILLET,2026-09-04,L,fable,1,2,4,6,1,4,3,3,numeric,v6,post_51,date
DOCM-4,v6,DOCM,2026-09-04,M,opus,1,0,3,4,1,4,4,3,structural,v5,post_51,date
DOCM-3,v6,DOCM,2026-09-04,L,opus,1,0,3,4,2,4,3,3,structural,v5,post_51,date
DOCM-1,v6,DOCM,2026-09-04,L,fable,1,1,2,4,4,4,3,3,structural,v5,post_51,date
DOCM-2,v6,DOCM,2026-09-04,M,fable,1,1,2,3,0,4,3,3,structural,v5,post_51,date
DOCM-5,v6,DOCM,2026-09-04,M,opus,1,1,4,3,NA,NA,NA,NA,structural,v5,post_51,date
DOCM-7,v6,DOCM,2026-09-06,M,opus,1,1,5,4,NA,3,3,2,structural,v5,post_51,date
DOCM-6,v6,DOCM,2026-09-06,M,opus,1,1,8,4,0,3.5,3,3.5,structural,v5,post_51,date
DOCM-8,v6,DOCM,2026-09-07,M,fable,1,1,4,6,2,4,3,2,structural,v5,post_51,date
H5,v6,FILLET,2026-09-05,M,opus,1,1,6,4,2,4,4,3,structural,v6,post_51,date
ATTR,v6,FILLET,2026-09-05,M,opus,1,0,3,7,2,4,4,3,structural,v6,post_51,date
H6,v6,FILLET,2026-09-05,S,opus,1,1,5,3,0,4,3,3,structural,v6,post_51,date
H7,v6,FILLET,2026-09-05,L,fable,1,0,5,5,1,4,4,3,numeric,v6,post_51,date
T,v6,FILLET,2026-09-05,S,opus,1,1,2,3,1,3,3,3,structural,v6,post_51,date
SPLIT,v6,FILLET,2026-09-05,S,fable,1,0,1,6,0,5,4,4,structural,v6,post_51,date
G17,v6,LIB,2026-09-08,L,fable,1,0,6,8,0,4,4,3,structural,v5,post_51,date
TEAPOT,v6,LIB,2026-09-08,M,opus,1,1,6,7,3,4,3,3,structural,v5,post_51,date
PERF-1,v6,PERF,2026-09-10,M,fable,1,0,5,10,NA,4,4,2,numeric,v5,post_51,date
PERF-3,v6,PERF,2026-09-10,S,opus,1,0,2,4,NA,5,4,4,structural,v5,post_51,date
PERF-2,v6,PERF,2026-09-11,M,opus,1,1,3,4,NA,3,2,3,structural,v5,post_51,date
PERF-4,v6,PERF,2026-09-11,L,opus,1,1,6,4,NA,3,4,4,structural,v5,post_51,date
PERF-5,v6,PERF,2026-09-12,M,fable,1,2,6,5,NA,4,3,3,structural,v5,post_51,date
PERF-6,v6,PERF,2026-09-12,M,opus,1,1,3,2,NA,4,3,3,numeric,v5,post_51,date
