row_id,tok_impl,tok_fix,tok_review,tok_total_stated,h_impl,h_fix,h_review,h_total_stated,contaminated,contamination_kind,active_note,raw_tokens,raw_wall
U7,172,0,159,NA,1.9,0.1,5,NA,0,none,R2tok=126;R2h=0.6,"impl ~172k / R1 ~159k(incl. limit-kill resume) / R2 ~126k / fix 0","impl ~1.9h / R1 ~5h wall (limit gap annotated) / R2 ~0.6h / fix ~0.1h"
G2,909,374,176,NA,7.2,0.7,3.7,NA,1,starvation,tok_impl=543+366 segments;h_impl=2.1+5.1,"impl ~543k(orig fragmented incl. 2 stale-waiter wakeups) + ~366k(finisher) / review ~176k / fix ~374k(cumulative-resumed unreliable)","impl ~2.1h+~5.1h / review ~3.7h / fix ~0.7h — slot-wait dominated throughout annotated"
G1,544,335,188,NA,5.3,0.8,1.9,NA,1,starvation,R2tok=180;R2h=1.2,"impl ~544k (parked+resumed) / R1 ~188k / R2 ~180k / fix ~335k","impl ~5.3h (incl. slot waits at load ~20) / R1 ~1.9h / R2 ~1.2h / fix ~0.8h (no gaps)"
U3,246,0,114,NA,0.96,0,0.41,NA,0,none,NA,"impl ~246k / review ~114k / fix 0 (per-phase per v3 discipline)","impl ~0.96h / review ~0.41h / fix 0 (no gaps)"
U1,158,242,152,NA,1,2.3,1.5,NA,0,none,NA,"~158k impl + ~152k review + ~242k fix","~1h impl + ~1.5h review + ~2.3h fix"
U5,235,307,170,NA,0.9,2.6,0.7,NA,0,none,R2tok=154;R2h=0.5,"impl ~235k / R1 ~170k / R2 ~154k / fix ~307k","impl ~0.9h / R1 ~0.7h / R2 ~0.5h / fix ~2.6h"
U9S,244,274,262,NA,5,0.3,1.5,NA,0,none,NA,"impl ~244k / review ~262k(incl. limit-kill resume) / fix ~274k","impl ~5h / review ~1.5h active / fix ~0.3h"
SEL1,483,288,354,NA,2.2,0.4,1.5,NA,0,none,NA,"impl ~483k (incl. limit-kill resume) / review ~354k (incl. limit-kill resume) / fix ~288k","impl ~2.2h active / review ~1.5h active / fix ~0.4h — limit gaps annotated"
SWITCH-E,605,673,275,NA,NA,NA,NA,NA,1,limit,R2tok=217;tok_impl_plus=1,"impl ~605k+ / R1 ~275k / R2 ~217k / fix ~673k — all limit-fragmented annotated","wall figures unreliable across 3 limit gaps + the CONFLICTING window"
SEL2,284,349,128,NA,NA,NA,NA,NA,1,limit,NA,"impl ~284k / review ~128k / fix ~349k — limit-fragmented annotated","wall fragmented across 2 limit gaps"
DOORS,228,287,143,NA,0.7,0.7,0.6,NA,0,none,R2tok=258,"impl ~228k / R1 ~143k / R2 ~258k(incl. parking resumes) / fix ~287k","impl ~0.7h / R1 ~0.6h / R2 fragmented / fix ~0.7h"
PR-C,476,266,128,NA,3,2.3,0.5,NA,0,none,NA,"impl ~476k (2 segments) / review ~128k / fix ~266k","impl ~3h / review ~0.5h / fix ~2.3h"
PYG1,333,70,165,NA,1.4,0.75,3.5,NA,1,starvation,NA,"impl ~333k / review ~165k / fix ~70k","impl ~1.4h active / review ~3.5h (~2h slot contention annotated) / fix ~45min active (cancelled slot tail excluded)"
U10,270,567,272,NA,NA,NA,NA,NA,1,starvation,R2tok=142,"impl ~270k / R1 ~272k(2 resumes) / R2 ~142k / fix ~567k(2 segments)","slot-wait-dominated annotated"
R1-PARAMS,165,NA,82,NA,1.1,0.2,0.7,NA,0,none,NA,"impl ~165k / review ~82k / fix orchestrator-direct (negligible)","impl ~1.1h / review ~0.7h (15:01–15:42Z one 2-min slot wait no gaps) / fix ~0.2h"
PY-CI,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"impl ~203k + hotfix orchestrator-direct","—"
PYG23A,135,15,126,NA,4.8,0.3,3.0,NA,0,none,NA,"impl ~135k + ~55k surveys / review ~126k / fix ~15k","impl ~4.8h wall (verification slot-contended annotated) / review ~3.0h / fix ~0.3h"
ASM-1,275,266,155,NA,5.9,NA,7.3,NA,0,none,R2tok=166;R2tok_plus=1,"impl ~275k + fix ~266k / R1 ~155k / R2 ~166k+2 lost-wake resumes","impl ~5.9h / R1 ~7.3h / R2 wake-fragmented annotated"
PYBUNDLE,300,318,142,NA,1.5,1.7,2.3,NA,1,starvation,NA,"impl ~300k / review ~142k / fix ~318k","impl ~1.5h / review ~2.3h (~70min slot contention annotated) / fix ~1.7h"
ASM-ROOTS,280,NA,249,NA,5.3,NA,4.8,NA,0,none,NA,"impl ~280k / review ~249k","impl ~5.3h / review ~4.8h"
ASM-2K,211,219,131,NA,3.4,NA,NA,NA,0,none,R2tok=108;R2h=5.3;tok_review_plus=1,"impl ~211k + fix ~219k / R1 ~131k+resumes / R2 ~108k","impl ~3.4h / R1 wake-fragmented / R2 ~5.3h"
